SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GAME_ID,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,AST,TOV,PF,PTS,PLUS_MINUS,NBA_FANTASY_PTS,MIN_RANK,GAME_DATE,HOME
2022-23,1629673,Jordan Poole,GSW,0022201230,POR,W,17.266666666666666,7,9,0.778,4,5,0.8,3,4,0.75,0,4,2,2,3,21,31,26.8,5135,2023-04-09T00:00:00,0
2022-23,203526,Raul Neto,CLE,0022201218,CHA,L,21.6,4,9,0.444,0,3,0.0,5,5,1.0,1,0,6,2,4,13,-12,24.2,4188,2023-04-09T00:00:00,1
2022-23,1630194,Paul Reed,PHI,0022201217,BKN,W,27.716666666666665,8,15,0.533,1,2,0.5,0,0,0.0,4,6,1,1,2,17,16,50.5,2782,2023-04-09T00:00:00,0
2022-23,1630230,Naji Marshall,NOP,0022201225,MIN,L,12.228333333333333,1,3,0.333,0,2,0.0,2,2,1.0,1,0,0,1,3,4,-9,4.2,5924,2023-04-09T00:00:00,0
2022-23,203473,Dewayne Dedmon,PHI,0022201217,BKN,W,19.116666666666667,6,8,0.75,1,1,1.0,1,1,1.0,0,7,4,2,5,14,17,29.4,4769,2023-04-09T00:00:00,0
2022-23,1628989,Kevin Huerter,SAC,0022201227,DEN,L,21.283333333333335,5,9,0.556,2,4,0.5,0,0,0.0,0,1,3,2,4,12,5,21.7,4274,2023-04-09T00:00:00,0
2022-23,1630552,Jalen Johnson,ATL,0022201216,BOS,L,18.5,6,10,0.6,2,4,0.5,1,2,0.5,0,3,3,0,2,15,-5,35.1,4904,2023-04-09T00:00:00,0
2022-23,203084,Harrison Barnes,SAC,0022201227,DEN,L,17.566666666666666,5,7,0.714,5,7,0.714,2,2,1.0,0,0,0,1,1,17,17,16.0,5085,2023-04-09T00:00:00,0
2022-23,201980,Danny Green,CLE,0022201218,CHA,L,24.648333333333333,5,12,0.417,3,10,0.3,0,0,0.0,1,3,1,3,5,13,-12,19.3,3502,2023-04-09T00:00:00,1
2022-23,1627788,Furkan Korkmaz,PHI,0022201217,BKN,W,29.883333333333333,3,7,0.429,3,4,0.75,2,2,1.0,0,4,0,3,3,11,21,18.8,2261,2023-04-09T00:00:00,0
2022-23,1630570,Trendon Watford,POR,0022201230,GSW,L,19.633333333333333,4,8,0.5,1,1,1.0,2,4,0.5,0,4,4,3,1,11,-16,21.8,4654,2023-04-09T00:00:00,1
2022-23,203115,Will Barton,TOR,0022201221,MIL,W,14.083333333333334,5,9,0.556,2,3,0.667,0,0,0.0,1,1,1,0,1,12,3,18.9,5648,2023-04-09T00:00:00,1
2022-23,1630183,Jaden McDaniels,MIN,0022201225,NOP,W,9.101666666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,1,0,1,2,0,-2,3.2,6261,2023-04-09T00:00:00,1
2022-23,1629723,John Konchar,MEM,0022201226,OKC,L,35.655,1,5,0.2,0,2,0.0,0,0,0.0,2,7,3,1,3,2,-15,28.3,864,2023-04-09T00:00:00,0
2022-23,1628449,Chris Boucher,TOR,0022201221,MIL,W,19.633333333333333,4,5,0.8,0,0,0.0,2,2,1.0,1,4,1,2,3,10,9,24.5,4654,2023-04-09T00:00:00,1
2022-23,203937,Kyle Anderson,MIN,0022201225,NOP,W,36.846666666666664,4,7,0.571,0,1,0.0,0,0,0.0,1,8,4,2,0,8,2,31.8,617,2023-04-09T00:00:00,1
2022-23,1628436,Luke Kornet,BOS,0022201216,ATL,W,32.65,5,10,0.5,0,2,0.0,2,2,1.0,1,6,6,1,5,12,-2,31.4,1583,2023-04-09T00:00:00,1
2022-23,1629639,Tyler Herro,MIA,0022201219,ORL,W,8.666666666666666,2,3,0.667,0,1,0.0,0,0,0.0,0,1,3,2,0,4,3,7.7,6307,2023-04-09T00:00:00,1
2022-23,1626163,Frank Kaminsky,HOU,0022201222,WAS,W,16.986666666666668,3,7,0.429,1,3,0.333,0,0,0.0,2,4,3,0,0,7,4,21.7,5196,2023-04-09T00:00:00,0
2022-23,1631205,Buddy Boeheim,DET,0022201223,CHI,L,10.183333333333334,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,0,0,0,-14,2.7,6161,2023-04-09T00:00:00,0
2022-23,202704,Reggie Jackson,DEN,0022201227,SAC,W,25.183333333333334,7,11,0.636,2,6,0.333,0,0,0.0,0,3,4,1,1,16,21,27.6,3375,2023-04-09T00:00:00,1
2022-23,202685,Jonas Valanciunas,NOP,0022201225,MIN,L,21.671666666666667,5,14,0.357,1,3,0.333,0,0,0.0,4,14,1,2,3,11,7,35.1,4168,2023-04-09T00:00:00,0
2022-23,202691,Klay Thompson,GSW,0022201230,POR,W,21.666666666666668,7,14,0.5,6,11,0.545,0,0,0.0,0,5,1,3,2,20,24,24.5,4169,2023-04-09T00:00:00,0
2022-23,1631165,Keon Ellis,SAC,0022201227,DEN,L,13.383333333333333,0,3,0.0,0,2,0.0,1,2,0.5,0,0,1,0,0,1,-6,2.5,5744,2023-04-09T00:00:00,0
2022-23,1629647,Darius Bazley,PHX,0022201229,LAC,L,26.666666666666668,7,13,0.538,1,3,0.333,1,3,0.333,4,5,2,1,2,16,-12,34.8,3033,2023-04-09T00:00:00,1
2022-23,1627734,Domantas Sabonis,SAC,0022201227,DEN,L,18.683333333333334,6,9,0.667,0,0,0.0,2,3,0.667,5,4,5,2,2,14,6,36.3,4868,2023-04-09T00:00:00,0
2022-23,203210,JaMychal Green,GSW,0022201230,POR,W,11.966666666666667,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,1,2,10,7.7,5971,2023-04-09T00:00:00,0
2022-23,1631199,Ron Harper Jr.,TOR,0022201221,MIL,W,22.383333333333333,4,6,0.667,1,3,0.333,1,1,1.0,1,3,1,0,2,10,6,16.3,4020,2023-04-09T00:00:00,1
2022-23,2617,Udonis Haslem,MIA,0022201219,ORL,W,24.918333333333333,9,17,0.529,3,7,0.429,3,3,1.0,0,3,0,1,3,24,1,29.6,3437,2023-04-09T00:00:00,1
2022-23,203082,Terrence Ross,PHX,0022201229,LAC,L,31.2,5,15,0.333,1,5,0.2,2,2,1.0,0,4,4,0,4,13,-9,23.8,1952,2023-04-09T00:00:00,1
2022-23,1630557,Corey Kispert,WAS,0022201222,HOU,L,12.3,6,8,0.75,5,7,0.714,1,1,1.0,1,2,1,0,0,18,4,23.1,5909,2023-04-09T00:00:00,1
2022-23,1630533,Ziaire Williams,MEM,0022201226,OKC,L,32.65,9,19,0.474,3,8,0.375,3,4,0.75,1,3,9,1,1,24,-7,44.3,1583,2023-04-09T00:00:00,0
2022-23,1630544,Tre Mann,OKC,0022201226,MEM,W,46.733333333333334,9,16,0.563,1,4,0.25,5,5,1.0,1,11,12,5,2,24,13,57.4,11,2023-04-09T00:00:00,1
2022-23,1630577,Julian Champagnie,SAS,0022201224,DAL,W,33.13333333333333,5,16,0.313,3,10,0.3,3,4,0.75,1,9,3,0,0,16,22,32.5,1464,2023-04-09T00:00:00,0
2022-23,1630245,Ayo Dosunmu,CHI,0022201223,DET,W,24.083333333333332,4,10,0.4,1,4,0.25,0,1,0.0,0,2,2,0,0,9,20,17.4,3644,2023-04-09T00:00:00,1
2022-23,203496,Robert Covington,LAC,0022201229,PHX,W,5.116666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,2,1,0,0,0,5,6.9,6673,2023-04-09T00:00:00,0
2022-23,1631099,Keegan Murray,SAC,0022201227,DEN,L,25.8,6,12,0.5,2,8,0.25,0,0,0.0,0,5,2,0,2,14,-2,26.0,3227,2023-04-09T00:00:00,0
2022-23,1630201,Malachi Flynn,TOR,0022201221,MIL,W,36.0,7,14,0.5,2,4,0.5,4,4,1.0,0,4,4,2,4,20,11,31.8,790,2023-04-09T00:00:00,1
2022-23,1631288,Jamal Cain,MIA,0022201219,ORL,W,18.516666666666666,6,7,0.857,4,4,1.0,2,3,0.667,0,5,1,2,1,18,13,29.5,4897,2023-04-09T00:00:00,1
2022-23,1631115,Orlando Robinson,MIA,0022201219,ORL,W,11.565,0,1,0.0,0,1,0.0,0,0,0.0,1,2,2,0,0,0,12,6.6,6026,2023-04-09T00:00:00,1
2022-23,1629611,Terance Mann,LAC,0022201229,PHX,W,19.803333333333335,2,5,0.4,0,0,0.0,0,0,0.0,0,1,0,0,2,4,8,8.2,4599,2023-04-09T00:00:00,0
2022-23,1630639,A.J. Lawson,DAL,0022201224,SAS,L,23.05,4,9,0.444,1,3,0.333,1,5,0.2,1,4,1,0,3,10,-13,20.5,3868,2023-04-09T00:00:00,1
2022-23,1641645,Xavier Cooks,WAS,0022201222,HOU,L,38.13333333333333,5,11,0.455,0,0,0.0,0,2,0.0,7,7,0,1,2,10,3,37.8,409,2023-04-09T00:00:00,1
2022-23,1631100,AJ Griffin,ATL,0022201216,BOS,L,29.333333333333332,5,13,0.385,1,5,0.2,2,3,0.667,1,2,2,0,0,13,-3,25.6,2393,2023-04-09T00:00:00,0
2022-23,1628470,Torrey Craig,PHX,0022201229,LAC,L,5.533333333333333,1,1,1.0,1,1,1.0,0,0,0.0,0,2,0,0,0,3,-3,5.4,6630,2023-04-09T00:00:00,1
2022-23,1630193,Immanuel Quickley,NYK,0022201220,IND,L,36.78333333333333,9,22,0.409,3,11,0.273,9,9,1.0,0,9,7,5,3,30,9,52.3,633,2023-04-09T00:00:00,1
2022-23,1630556,Kessler Edwards,SAC,0022201227,DEN,L,9.766666666666667,0,2,0.0,0,1,0.0,0,0,0.0,1,0,0,0,4,0,-8,1.2,6202,2023-04-09T00:00:00,0
2022-23,1630699,MarJon Beauchamp,MIL,0022201221,TOR,L,30.233333333333334,4,10,0.4,2,5,0.4,0,0,0.0,0,6,4,2,2,10,6,21.2,2182,2023-04-09T00:00:00,0
2022-23,1628424,Kobi Simmons,CHA,0022201218,CLE,W,8.133333333333333,0,1,0.0,0,1,0.0,0,0,0.0,1,1,3,0,0,0,0,6.9,6360,2023-04-09T00:00:00,0
2022-23,1627736,Malik Beasley,LAL,0022201228,UTA,W,26.946666666666665,4,10,0.4,3,9,0.333,2,4,0.5,2,4,3,0,1,13,-6,24.7,2969,2023-04-09T00:00:00,1
2022-23,1630688,Ish Wainright,PHX,0022201229,LAC,L,31.733333333333334,2,6,0.333,2,5,0.4,1,2,0.5,0,7,1,1,4,7,6,18.9,1819,2023-04-09T00:00:00,1
